SppCode,Genus,Species Name,Common Name
CYUM2,Cyrtandra,x umbraculiflora,Cyrtandra umbraculiflora
CYAL3,Cyrtandra,x alata,Cyrtandra x alata
CYAL4,Cyrtandra,x alnea,Cyrtandra x alnea
CYAT2,Cyrtandra,x atomigyna,Cyrtandra x atomigyna
CYBA5,Cyrtandra,x basipartita,Cyrtandra x basipartita
CYCA11,Cyrtandra,x carinata,Cyrtandra x carinata
CYCA12,Cyrtandra,x caudatisepala,Cyrtandra x caudatisepala
CYCA13,Cyrtandra,x caulescens,Cyrtandra x caulescens
CYCL,Cyrtandra,x cladantha,Cyrtandra x cladantha
CYCR7,Cyrtandra,x crassifolia,Cyrtandra x crassifolia
CYCR3,Cyrtandra,x crassior,Cyrtandra x crassior
CYCU2,Cyrtandra,x cupuliformis,Cyrtandra x cupuliformis
CYFE5,Cyrtandra,x ferrocolorata,Cyrtandra x ferrocolorata
CYFE6,Cyrtandra,x ferruginosa,Cyrtandra x ferruginosa
CYLA6,Cyrtandra,x laevis,Cyrtandra x laevis
CYMA7,Cyrtandra,x malacophylla,Cyrtandra x malacophylla
CYNU2,Cyrtandra,x nutans,Cyrtandra x nutans
CYPU5,Cyrtandra,x pubens,Cyrtandra x pubens
CYRA3,Cyrtandra,x ramosissima,Cyrtandra x ramosissima
CYSC6,Cyrtandra,x scabrella,Cyrtandra x scabrella
CYSU4,Cyrtandra,x subintegra,Cyrtandra x subintegra
CYTU,Cyrtandra,x turbiniformis,Cyrtandra x turbiniformis
CYVI4,Cyrtandra,x villicalyx,Cyrtandra x villicalyx
CYDA2,Cytisus,x dallimorei,Dallimore's spanishbroom
RODA,Rosa,x damascena,Damask rose
QUDE,Quercus,x deamii,Deam's oak
MADE1,Magnolia,x delavayi,Delavay's Magnolia
CADE10,Carya,x demareei,Demaree hickory
QUDI,Quercus,x discreta,Discreet oak
VADO,Vaccinium,x dobbinii,Dobbin's huckleberry
DUDE,Dubautia,x demissifolia,Dubautia x demissifolia
DUFA2,Dubautia,x fallax,Dubautia x fallax
DUME,Dubautia,x media,Dubautia x media
DUMO2,Dubautia,x montana,Dubautia x montana
BEDU,Betula,x dugleana,Dugle's birch
CADU3,Carya,x dunbarii,Dunbar's hickory
LAEU,Larix,x eurolepis,Dunkeld Larch
ULHO,Ulmus,x hollandica,Dutch elm
AENE,Aesculus,x neglecta,Dwarf buckeye
BEEA,Betula,x eastwoodiae,Eastwood's birch
QUEG,Quercus,x egglestonii,Eggleston's oak
MAPUEL,Malus,x purpurea v eleyi,Eleyi crapapple
QUEP,Quercus,x eplingii,Epling's oak
QUPS,Quercus,x pseudomargarettiae,False sand post oak
QUFA2,Quercus,x faxonii,Faxon's oak
QUFE,Quercus,x fernaldii,Fernald's oak
QUFE2,Quercus,x fernowii,Fernow's oak
CEFL4,Ceanothus,x flexilis,Flexible ceanothus
SEFL4,Senna,x floribunda,Floribunda senna
LOXY2,Lonicera,x xylosteoides,Fly honeysuckle
QUFO,Quercus,x fontana,Fontana oak
CYFO2,Cyrtandra,x forbesii,Forbes's cyrtandra
HEFR,Hebe,x franciscana,Francisco hebe
PHFR,Photinia,x fraseri,Fraser photinia
ACFR,Acer,x freemanii,Freeman maple
MUPA3,Musa,x paradisiaca,French plantain
COFR9,Cornus,x friedlanderi,Friedlander's dogwood
MASOGA,Magnolia,x soulangiana 'Galaxy',Galaxy magnolia
QUGA4,Quercus,x ganderi,Gander oak
QUGA3,Quercus,x garlandensis,Garland oak
CAHA,Callistemon,x harkness,Gawler hybrid
CYGE,Cyrtandra,x georgiana,Georgia cyrtandra
QUGI,Quercus,x giffordii,Gifford's oak
ABGR4,Abelia,x grandiflora,"Glossy abelia"
POCA2AU,Populus,x canadensis Aurea,Golden Poplar
SACH,Salix,x chrysocoma,Golden weeping Willow
LAWA,Laburnum,x watereri,GoldenÅ]chain tree
CIPA,Citrus,x paradisi,Grapefruit
POCA,Populus,x canescens,Gray poplar
QUGU,Quercus,x guadalupensis,Guadalupe oak
AMQU,Amelanchier,x quintiÅ]martii,Guint mart's serviceberry
QUHA,Quercus,x harbisonii,Harbison's oak
ROHA4,Rosa,x harisonii,Harrison's yellow rose
QUHA2,Quercus,x hastingsii,Hasting's oak
QUHA4,Quercus,x hawkinsiae,Hawkins' oak
POHE5,Populus,x heimburgeri,Heiburger's poplar
ARHE4,Arctostaphylos,x helleri,Heller's manzanita
HIPU2,Hibiscadelphus,x puakuahiwi,Hibiscadelphus
CALU8,Carya,x ludoviciana,Hickory
CYHI6,Cyrtandra,x hillebrandii,Hillebrand's cyrtandra
POHI8,Populus,x hinckleyana,Hinckley poplar
ROHO,Robinia,x holdtii,Holdt's locust
PIHO1,Pinus,x holfordiana,Holford's Pine
LONO,Lonicera,x notha,Honeysuckle
CYHO3,Cyrtandra,x honolulensis,Honolulu cyrtandra
BEHO,Betula,x hornei,Horne's birch
CYHO4,Cyrtandra,x hosakae,Hosaka's cyrtandra
ROHO3,Rosa,x housei,House's rose
QUHO,Quercus,x howellii,Howell's oak
CRHU3,Crataegus,x hudsonica,Hudson hawthorn
POBR7,Populus,x brayshawii,Hybrid balsam poplar
AEHY,Aesculus,x hybrida,Hybrid chesnut
ARX,Arbutus,x andrachnoides,Hybrid Strawberry tree
PTRE,Pterocarya,x rehderiana,Hybrid WingÅ]nut
ROAMID,Robinia,x ambigua 'Idahoenis',Idaho locust
ARME7,Arctostaphylos,x media,Intermediate manzanita
AMIN4,Amelanchier,x intermedia,Intermediate serviceberry
JUIN3,Juglans,x intermedia,Intermediate walnut
BEJA,Betula,x jackii,Jack's birch
QUJA,Quercus,x jackiana,Jack's oak
CLSP13,Clerodendrum,x speciosum,Java glory bean
TSJE,Tsuga,x jeffreyi,Jeffrey hemlock
ARJE,Arctostaphylos,x jepsonii,Jepson's manzanita
QUJO,Quercus,x jolonensis,Jolon's oak
QUJO4,Quercus,x joorii,Jorr's oak
JUQU,Juglans,x quadrangulata,Juglans x quadrangulata
CYKA,Cyrtandra,x kaalae,Kaala cyrtandra
CYKA2,Cyrtandra,x kahanaensis,Kahanae cyrtandra
ANKA,Antidesma,x kapuae,Kapua chinalaurel
CRKE3,Crataegus,x kennedyi,Kennedy's hawthorn
CAKI1,Callistemon,x kings park spec.,Kings park bottlebrush
CYKI,Cyrtandra,x kipahuluensis,Kipahulu cyrtandra
CYKI2,Cyrtandra,x kipapaensis,Kipapa cyrtandra
POAC5,Populus,x acuminata,Lanceleaf cottonwood
CRLA4,Crataegus,x laneyi,Laney's hawthorn
CALA34,Carya,x laneyi,Laney's hickory
VIRH3,Viburnum,x rhytidophylloides,Lantanaphyllum viburnum
QUGR4,Quercus,x grandidentata,Largeleaf oak
ARLA21,Arctostaphylos,x laxiflora,Lazyflower manzanita
CALE13,Carya,x lecontei,Leconte's hickory
CRLE5,Crataegus,x lettermanii,Letterman's hawthorn
CELO,Ceanothus,x lobbianus,Lobbian ceanothus
ROLO2,Robinia,x longiloba,Locust
PLAC1,Platanus,x acerifolia,London plane
LOHE6,Lonicera,x heckrottii,Lonicera x heckrottii
CELO2,Ceanothus,x lorenzenii,Lorenzen's ceanothus
PILU,Picea,x lutzii,Lutz's spruce
QUMA4,Quercus,x macdonaldii,Macdonald oak
QUMA,Quercus,x macnabiana,Macnab's oak
MADA5,Malus,x dawsoniana,Malus x dawsoniana
MAMA29,Malus,x magdeburgensis,Malus x magdeburgensis
CILI3,Citrus,x limonia,Mandarin lime
CYMA8,Cyrtandra,x mannii,Mann's cyrtandra
QUDI2,Quercus,x diversiloba,Manylobed oak
ROMA,Robinia,x margarettiae,Margarett's locust
AEMA2,Aesculus,x marylandica,Maryland chesnut
QUME,Quercus,x mellichampii,Mellichamp's oak
CEME3,Ceanothus,x mendocinensis,Mendocino ceanothus
DUMO,Dubautia,x molokaiensis,Molokai dubautia
PIMO4,Pittosporum,x monae,Mona cheesewood
CRMO,Crataegus,x mordenensis,Morden hawthorn
MOMA6,Morella,x macfarlanei,Morella x macfarlanei
EUMO5,Eucalyptus,x mortoniana,Morton eucalyptus
QUMO3,Quercus,x moultonensis,Moulton's oak
PRSH,Prunus,x shirotae,Mount fuji cherry
SOTH,Sorbus,x thuringiaca,Mountainash
QUMU3,Quercus,x munzii,Munz's oak
LAMU,Lagerstroemia,x Muskogee,Muskogee crapemyrtle
EUNY,Eucryphia,x nymansensis,'Namansay' eucryphia
ASNA3,Asimina,x nashii,Nash's pawpaw
LANA,Lagerstroemia,x Natchez,Natchez crapemyrtle
SCCE3,Scaevola,x cerasifolia,Naupaka
CANE7,Castanea,x neglecta,Neglected chesnut
AMNE,Amelanchier,x neglecta,Neglected serviceberry
QUNE3,Quercus,x nessiana,Ness's oak
BEUT,Betula,x utahensis,Northwestern paper birch
AMNO,Amorpha,x notha,Notha indigobush
CANU8,Carya,x nussbaumeri,Nussbaumer's hickory
QUHE2,Quercus,x heterophylla,Oddleaf oak
PRIN,Prunus,x incam 'okame',Okame cherry
CYOP,Cyrtandra,x opaeulae,Opaeula cyrtandra
QUMO2,Quercus,x moreha,Oracle oak
QUOR,Quercus,x organensis,Organ oak
CEOT,Ceanothus,x otayensis,Otay ceanothus
BEOT,Berberis,x ottawensis,Ottawa barberry
QUPA3,Quercus,x palmeriana,Palmer's oak
PRPA8,Prunus,x palmeri,Palmer's prunus
POPA11,Populus,x parryi,Parry's cottonwood
CRPE14,Crataegus,x peckietta,Peck's hawthorn
RHPE3,Rhododendron,x pennsylvanicum,Pennsylvania rhododendron
CIPE3,Citharexylum,x perkinsii,Perkins' fiddlewood
SYPE,Syringa,x persica,Persian lilac
CRPI,Crataegus,x pilosa,Pilose hawthorn
ROAM2,Robinia,x ambigua,Pink locust
PIAT2,Pinus,x attenuradiata,Pinus x attenuradiata
PISO,Pinus,x sondereggeri,Pinus x sondereggeri
ARRE8,Arctostaphylos,x repens,Pmc manzanita
RORE3,Rosa,x rehderiana,Polyantha rose
POIN23,Populus,x inopina,Populus x inopina
PORO4,Populus,x rouleauiana,Populus x rouleauiana
PROR,Prunus,x orthosepala,Prunus
RHPU2,Rhus,x pulvinata,Pulvinate sumac
PRCI,Prunus,x cistena,Purpleleaf sand cherry
BEPU3,Betula,x purpusii,Purpus's birch
SPPY,Spiraea,x pyramidata,Pyramid spirea
QUAC3,Quercus,x acutidens,Quercus x acutidens
QUBI2,Quercus,x bimundorum,Quercus x bimundorum
QUCA,Quercus,x caduca,Quercus x caduca
QUCR,Quercus,x cravenensis,Quercus x cravenensis
QUEX,Quercus,x exacta,Quercus x exacta
QUFI,Quercus,x filialis,Quercus x filialis
QUHU,Quercus,x humidicola,Quercus x humidicola
QUIN5,Quercus,x incomita,Quercus x incomita
QUIN2,Quercus,x inconstans,Quercus x inconstans
QUIN4,Quercus,x introgressa,Quercus x introgressa
QULE,Quercus,x leana,Quercus x leana
QULU,Quercus,x ludoviciana,Quercus x ludoviciana
QUME2,Quercus,x megaleia,Quercus x megaleia
QUMU2,Quercus,x mutabilis,Quercus x mutabilis
QUNE,Quercus,x neopalmeri,Quercus x neopalmeri
QUNE2,Quercus,x neotharpii,Quercus x neotharpii
QUOV,Quercus,x oviedoensis,Quercus x oviedoensis
QUPA5,Quercus,x palaeolithicola,Quercus x palaeolithicola
QUPO,Quercus,x podophylla,Quercus x podophylla
QURU3,Quercus,x runcinata,Quercus x runcinata
QUSC,Quercus,x schochiana,Quercus x schochiana
QUSC2,Quercus,x schuettei,Quercus x schuettei
QUST2,Quercus,x stelloides,Quercus x stelloides
QUST3,Quercus,x sterilis,Quercus x sterilis
QUSU4,Quercus,x subconvexa,Quercus x subconvexa
QUSU6,Quercus,x subfalcata,Quercus x subfalcata
QUSU2,Quercus,x subintegra,Quercus x subintegra
QUSU3,Quercus,x substellata,Quercus x substellata
QUVA2,Quercus,x vaga,Quercus x vaga
QUVE2,Quercus,x venulosa,Quercus x venulosa
CANE33,Cassia,x nealiae,Rainbow shower tree
AECA,Aesculus,x carnea,Red horsechestnut
CRX,Crataegus,x smithiana,Red Mexican Hawthorn
QURE,Quercus,x rehderi,Rehder's oak
QURI,Quercus,x riparia,Riparian oak
QURO2,Quercus,x robbinsii,Robinn's oak
CYRO4,Cyrtandra,x rockii,Rock's cyrtandra
QURO4,Quercus,x rolfsii,Rolf's oak
RODU,Rosa,x dulcissima,Rosa x dulcissima
ROPA4,Rosa,x palustriformis,Rosa x palustriformis
RORU3,Rosa,x rudiuscula,Rosa x rudiuscula
ROSLHI,Robinia,x slavinii hillierii,Rose Acacia
QURU2,Quercus,x rudkinii,Rudkin's oak
CERU,Ceanothus,x rugosus,Rugose ceanothus
BESA,Betula,x sandbergii,Sandberg's birch
QUSA3,Quercus,x sargentii,Sargent's oak
MASO,Magnolia,x soulangiana,Saucer magnolia
QUSA,Quercus,x saulii,Saul's oak
CASC16,Carya,x schneckii,Schneck's hickory
CYWA10,Cyrtandra,x waihoiensis,SharpÅ]tooth cyrtandra
ABSH,Abies,x shastensis,"Shasta red fir"
FOIN3,Forsythia,x intermedia,Showy forsythia
COSL,Cornus,x slavinii,Slavin's dogwood
PRSL,Prunus,x slavinii,Slavin's prunus
LOMI5,Lonicera,x minutiflora,Smallflower honeysuckle
QUSM,Quercus,x smallii,Small's oak
POSM2,Populus,x smithii,Smith's poplar
MASO3,Malus,x soulardii,Soulard crab
SPSU2,Spiraea,x subcanescens,Spirea
HYMO2,Hypericum,x moserianum,St. johnswort
AECAST,Aesculus,x carnea 'Stafford',Stafford red hrsechestnut
QUST4,Quercus,x sterretii,Sterret's oak
GLTE,Gleditsia,x texana,Texan locust
QUTH,Quercus,x tharpii,Tharp's oak
ERX,Erythrina,x sykesii,Thorny Coral Tree
ILAT,Ilex,x attenuata,Topal holly
QUTO4,Quercus,x tottenii,Totten's oak
QUTO3,Quercus,x townei,Towne's oak
QUTR,Quercus,x tridentata,Tridentata oak
LATU,Lagerstroemia,x Tuscarora,Tuscarora crapemyrtle
LATU1,Lagerstroemia,x Tuskegee,Tuskegee crapemyrtle
ERUI2,Ericameria,x uintahensis,Uinta rubber rabbitbrush
ULNO,Ulmus,x notha,Ulmus x notha
SPVA2,Spiraea,x vanhouttei,Van houtt's spirea
CEVA,Ceanothus,x vanrensselaeri,Vanrensselaer ceanothus
CEVE4,Ceanothus,x veitchianus,Veitch ceanothus
QUWA2,Quercus,x wagneri,Wagner's oak
ARCI,Arctostaphylos,x cinerea,Waldo manzanita
QUWA,Quercus,x walteriana,Walter's oak
QUPA4,Quercus,x pauciloba,Wavyleaf oak
CRWE,Crataegus,x websteri,Webster's hawthorn
SABA,Salix,x sepulcralis Simonkai,Weeping willow
RHWE,Rhododendron,x welleslyanum,Wellesly rhododendron
ROAL3,Rosa,x alba,White rose of york
CRWH,Crataegus,x whittakeri,Whittaker's hawthorn
QUWI2,Quercus,x willdenowiana,Willdenow's oak
BEWI2,Betula,x winteri,Winter's birch
SACO10,Salix,x conifera,Conifer willow
SACR10,Salix,x cryptodonta,Smalltoothed willow
SAPE12,Salix,x pendulina Wenderoth,Wisconsin weeping willow
LYAS,Lyonothamnus,f. asplenifol,Fernleaf ironwood
ARMA2,Arbutus,var. marina,Marina arbutus
SAALTR,Salix,alba 'Tristis',Weeping white willow
EUAL1AU,Eucalyptus,alba australasica,White Gum
MOALPE,Morus,alba pendula,White mullberry
POALPY,Populus,alba Pyramidalis,White poplar Pyramidalis
ULMIAN,Ulmus,minor angustifolia,Ulmus minor angustifolia
QUROFA,Quercus,robur 'Fastigiata',Columnar english oak
PINI4,Pinus,nigra ssp. salzmannii,Corsican pine
PONIIT,Populus,nigra 'Italica',Lombardy poplar
PIABAS,Picea,abies x asperata,Norway x chinese spruce
PINICO,Pinus,nigra corsicana,Pinus nigra corsicana
PININI,Pinus,nigra nigra,Pinus nigra nigra
ILOPSA,Ilex,opaca x attenuata Savannah,Savannah holly
EUOVOV,Eucalyptus,ovata ovata,Swamp gum
ULGLLU,Ulmus,glabra lutescens,Golden wych elm
SYOBDI,Syringa,oblata dilatata,Korean early lilac
VIOPSA,Viburnum,opulus sargentii,Viburnum opulus sargentii
VITR,Viburnum,opulus v americanum,American cranberrybush
ACRUCO,Acer,rubrum 'Columnare',Columnar red maple
PACEDM,Parkinsonia,hybrid Desert Museum,Desert Museum
ACRUD,Acer,rubrum 'Drummondii',Drummond's maple
ACRUGR,Acer,rubrum 'Gerling',Gerling red maple
GIBIAG,Ginkgo,biloba 'Autumn Gold',Ginkgo 'Autumn Gold'
GIBIFA,Ginkgo,biloba 'Fairmont',Ginkgo 'Fairmont'
GRGOPL,Grevillea,goodii pluricaulis,Grevillea goodii pluricau
PRHAJO,Prunus,'Hally Jolivette',Hally jolivette cherry
FIRE4,Ficus,retusa ssp nitida,Indian laurel fig
ACRUMO,Acer,rubrum 'Morgan',Morgan red maple
ACRUOC,Acer,rubrum 'October glory',October glory red maple
SALA2,Salix,lucida ssp. lasiandra,Pacific willow
COMA2,Corylus,maxima var. purpurea,Purpule giant filbert
EUOL1OL,Eucalyptus,oleosa oleosa,Red Morrell
ACRURS,Acer,rubrum 'Red Sunset',Red sunset red maple
ACRUAR,Acer,rubrum 'Armstrong',Scarlet maple
GIBIFA2,Ginkgo,biloba 'Fastigiata',Sentry ginkgo
ALRU,Alnus,incana ssp. rugosa,Speckled alder
PRHYPH,Prosopis,hybrid Phoenix,Thornless mesquite
TICOGR,Tilia,cordata 'Greenspire',Greenspire linden
TRLAEL,Tristaniopsis,laurina 'Elegans',Water gum 'Elegans'
ACDAGR,Acer,davidii grosseri,Acer davidii grosseri
MAIO,Malus,ioensis var. plena,Bechtel crabapple
MAIS,Malus,'Indian Summer',Crabapple 'Indian Summer'
EUSABO,Eucalyptus,saligna x botryoides,Eucalyptus saligna
EUVIWI,Eucalyptus,viridis wimmerensis,Eucalyptus viridis
CABEFA,Carpinus,betulus 'Fastigiata',Fastigate hornbeam
MABA2,Malus,baccata v purpurea,Manzano de flor
PHALCB,Phyllocladus,alpinus Cockannes Blue,Mountain Toatoa
ZESEMU,Zelkova,serrata 'Musashino',Musashino columnar zelkova
EURARA,Eucalyptus,radiata radiata,NarrowÅ]leaf peppermint
PRPEN2,Prunus,persica v nucipersica,Nectarine
QUPA8SH,Quercus,parvula shrevei,Shreve oak
POSIFA,Populus,simonii fastigiata,Simon poplar
ALSI,Alnus,viridis ssp. sinuata,Sitka alder
LILUTR,Ligustrum,lucidum Tricolor,TriÅ]colour Privet
BEPEGR,Betula,pendula gracilis,Weeping birch
LADEPE,Larix,decidua 'Pendula',Weeping european larch
ACWR2,Acacia,greggii v wrightii,Wright acacia
ZESEVG,Zelkova,serrata 'Village Green',Zelkova 'Village Green'
SOCOEM,Sorbus,commixta embley,Chinese Scarlet Rowan
TAOCNE,Tabebuia,ochracea ssp neochrysantha,Golden trumpet tree
OLEUAF,Olea,europaea africana,African Olive
CEBE,Cercocarpus,montanus v glaber,Birchleaf mtn mahogany
PICO5,Pinus,contorta var. bolanderi,Bolander beach pine
MAHA,Malus,'Harvest Gold',Crabapple 'Harvest Gold'
EUGLCO,Eucalyptus,globulus v compacta,Dwarf blue gum
OLEUEU,Olea,europaea europea,European Olive
FROXFL,Fraxinus,oxycarpa 'Flame',Flame ash
FROXAU,Fraxinus,oxycarpa 'Aureafolia',Golden desert ash
EUWI1,Eucalyptus,willisii willisii,Grampians Peppermint
EURARO,Eucalyptus,racemosa rossii,Inland scribbly gum
EUJAAM,Euonymus,japonica AureoÅ]marginatus,Japanese Spindle
RHYEPO,Rhododendron,yedoense poukhanense,Korean azalea
ACPADI,Acer,palmatum 'Dissectum',LaceÅ]leaf maple
EUGOMA,Eucalyptus,globulus maidenii,Maiden's gum
FRVEMO,Fraxinus,velutina 'Modesto',Modesto ash
PICO7,Pinus,contorta v murrayana,Murray lodgepole pine
SACANE,Sambucus,caerulea v mexicana,Neomexican elderberry
ABLO,Abies,concolor v lowiana,"Sierra white fir"
EURARA1,Eucalyptus,racemosa racemosa,Snappy gum
EUGOBI,Eucalyptus,globulus bicostata,Southern blue gum
OLEU2,Olea,europaea 'Swan Hill',Swan hill olive
JUCO1SU,Juniperus,communis suecica,Swedish Juniper
PICO6,Pinus,contorta var. latifolia,Tall lodgepole pine
HOPOVA,Hoheria,populnea Variegata,Variegated Houhere
FRVEFW,Fraxinus,velutina 'Fan West',Velvet ash 'Fan West'
MAPOWI,Maclura,pomifera Wichita,Wichita Osage Orange
ULAMLI,Ulmus,americana 'Liberty',Liberty elm
TIAMRE,Tilia,americana 'Redmond',Redmond American Linden
TITOSS,Tilia,tomentosa 'Sterling Silver',Sterling silver linden
PRSEAM,Prunus,serrulata 'Amanogawa',Amanogawa cherry
FRAMAA,Fraxinus,americana Autumn Applause,Autumn applause ash
FRAMAP,Fraxinus,americana 'Autumn Purple',Autumn purple ash
CEATGL,Cedrus,atlantica glauca,Blue atlas cedar
EUMA1MA,Eucalyptus,mannifera mannifera,Brittle gum
PALO8LO,Paraserianthes,lophantha lop.,Cape leeuwin wattle
TICA,Tilia,americana v caroliniana,Carolina basswood
FRAMCC,Fraxinus,americana Champaign Cnty,Champaign county ash
PICHPS,Pistacia,chinensis 'Pearl Street',Chinese pistache Pearl St
FASYPU,Fagus,sylvatica 'Purpurea',Copper beech
ANCOCE,Anadenanthera,colubrina cebil,curupay
QUPAFA,Quercus,palustris fastigiata,Fastigiate pin oak
ABFOGE,Abies,forrestii georgei,"Forrest's Fir"
EUVIPR,Eucalyptus,viminalis pryoriana,Gippsland manna gum
FREXAU,Fraxinus,excelsior aurea,Golden ash
JUCHAU,Juniperus,chinensis Aurea,Golden Chinese Juniper
ACSA2GR,Acer,saccharum 'Green Mountain',Green mtn sugar maple
FREXHE,Fraxinus,excelsior 'Hessei',Hesse ash
BASP1CO,Banksia,spinulosa collina,Hill Banksia
JUCHTO,Juniperus,chinensis 'Torulosa',Hollywood juniper
ERVAOR,Erythrina,variegata v orientalis,Indian coral tree
LIJAVA,Ligustrum,japonicum Variegatum,Japanese Privet
FREXKI,Fraxinus,excelsior 'Kimberly',Kimberly ash
EUVIVI,Eucalyptus,viminalis viminalis,Manna gum
POSA,Populus,deltoides s monilifera,Plains cottonwood
ACCAQU,Acer,campestre 'Queen Elizabeth',Queen eliz hedge maple
HITI2,Hibiscus,tiliaceus var rubra,Red Beach Hibiscus
FRAMRH,Fraxinus,americana 'Rosehill',Rosehill ash
PHRESY,Phoenix,reclinata x sylvestris,Senegal date
PHRECA,Phoenix,reclinata x canariensis,Senegal Date hybrid
PRSESH,Prunus,serrulata 'Shirofugen',Shirofugen cherry
PRSESO,Prunus,serrulata 'Shirotae',Shirotae cherry
PRSP3,Prunus,spachiana f. ascendens,Usuzumi cherry
LOCO9VA,Lophostemon,confertus Variegatus,Variegated Brush Box
